"","date","ATMP","WTMP"
"1",1987-12-05,15.8,25
"2",1987-12-06,15.5,24.9
"3",1987-12-07,23,25.6
"4",1987-12-08,23.9,25.3
"5",1987-12-09,21,25.5
"6",1987-12-10,24.6,25.6
"7",1987-12-11,21.6,25.6
"8",1987-12-12,18.8,25.3
"9",1987-12-13,21.9,25.2
"10",1987-12-14,23.7,25
"11",1987-12-15,25,25.2
"12",1987-12-16,25.3,25.1
"13",1987-12-17,12.1,23.9
"14",1987-12-18,14.9,23.7
"15",1987-12-19,21.8,24
"16",1987-12-20,23.6,24.5
"17",1987-12-21,24.2,24.5
"18",1987-12-22,24.4,24.7
"19",1987-12-23,22.5,25
"20",1987-12-24,23.9,24.6
"21",1987-12-25,24.3,24.6
"22",1987-12-26,24.2,24.4
"23",1987-12-27,24.2,25.1
"24",1987-12-28,24.5,25.1
"25",1987-12-29,22.8,25.1
"26",1987-12-30,13.1,22.9
"27",1987-12-31,20.8,23.7
"28",1988-01-01,22.9,24.3
"29",1988-01-02,21.4,24.2
"30",1988-01-03,24.7,24.2
"31",1988-01-04,22.7,24.3
"32",1988-01-05,17.2,24.4
"33",1988-01-06,22.2,23.7
"34",1988-01-07,23.5,24.5
"35",1988-01-08,22.5,24.7
"36",1988-01-09,24.2,24.8
"37",1988-01-10,23.6,24.5
"38",1988-01-11,18.3,24.6
"39",1988-01-12,15.7,23.5
"40",1988-01-13,21.7,23.5
"41",1988-01-14,17.8,23.8
"42",1988-01-15,19.7,23.4
"43",1988-01-16,17,23
"44",1988-01-17,20.9,24.5
"45",1988-01-18,22.3,24.6
"46",1988-01-19,23.1,24.3
"47",1988-01-20,24.1,24.2
"48",1988-01-21,24.3,24.1
"49",1988-01-22,19.4,23.7
"50",1988-01-23,13,23.2
"51",1988-01-24,19.5,23.6
"52",1988-01-25,24.4,24.1
"53",1988-01-26,13.4,22.1
"54",1988-01-27,10,21.9
"55",1988-01-28,10.6,20.5
"56",1988-01-29,18.8,20.5
"57",1988-01-30,21.2,21.6
"58",1988-01-31,21.9,22.1
"59",1988-02-01,22.7,22.5
"60",1988-02-02,22.8,22.9
"61",1988-02-03,22.9,23.5
"62",1988-02-04,22.9,24
"63",1988-02-05,21.4,24
"64",1988-02-06,17.6,24.3
"65",1988-02-07,15.8,22.5
"66",1988-02-08,22.2,24.2
"67",1988-02-09,16.7,23.5
"68",1988-02-10,17.8,23.7
"69",1988-02-11,19.3,23.5
"70",1988-02-12,16.9,23.8
"71",1988-02-13,10.3,21.6
"72",1988-02-14,13.8,21.5
"73",1988-02-15,22.4,22.9
"74",1988-02-16,16.9,22.9
"75",1988-02-17,20.6,22.5
"76",1988-02-18,22.8,22.7
"77",1988-02-19,24.3,23.5
"78",1988-02-20,24.6,23.8
"79",1988-02-21,23.6,23.6
"80",1988-02-22,15.7,21.6
"81",1988-02-23,23.3,22.7
"82",1988-02-24,21.9,23.1
"83",1988-02-25,17.5,22.3
"84",1988-02-26,12.9,21.4
"85",1988-02-27,13.7,23.5
"86",1988-02-28,16,23.2
"87",1988-02-29,16.1,22.2
"88",1988-03-01,16.2,22.3
"89",1988-03-02,21,22.4
"90",1988-03-03,22.3,22.5
"91",1988-03-04,22.9,22.5
"92",1988-03-05,23,22.5
"93",1988-03-06,23.3,22.7
"94",1988-03-07,22.1,22.4
"95",1988-03-08,22.8,22.9
"96",1988-03-09,23.3,23.2
"97",1988-03-10,24.2,23.8
"98",1988-03-11,15.2,22
"99",1988-03-12,21.3,22.5
"100",1988-03-13,23.6,22.5
"101",1988-03-14,23.7,23.2
"102",1988-03-15,13.1,21.9
"103",1988-03-16,9.9,21
"104",1988-03-17,16,21.8
"105",1988-03-18,21.4,22.1
"106",1988-03-19,23.6,22.3
"107",1988-03-20,12.4,21.1
"108",1988-03-21,15.1,20.7
"109",1988-03-22,20.1,21.7
"110",1988-03-23,21.8,21.4
"111",1988-03-24,22.8,23.4
"112",1988-03-25,22.9,23.8
"113",1988-03-26,23.4,23.7
"114",1988-03-27,23.6,23.7
"115",1988-03-28,23.6,23.9
"116",1988-03-29,23.6,24
"117",1988-03-30,23.5,24
"118",1988-03-31,23.1,24.2
"119",1988-04-01,22.6,24.3
"120",1988-04-02,23.3,24.9
"121",1988-04-03,23.3,24.8
"122",1988-04-04,24,24.9
"123",1988-04-05,24.2,24.9
"124",1988-04-06,23.2,24.8
"125",1988-04-07,21.9,24.6
"126",1988-04-08,20,23.8
"127",1988-04-09,19.2,23.7
"128",1988-04-10,22.7,24.3
"129",1988-04-11,22.7,24.4
"130",1988-04-12,21.3,23.7
"131",1988-04-13,19,22.3
"132",1988-04-14,17.2,22.9
"133",1988-04-15,20.2,22.7
"134",1988-04-16,20.6,23.1
"135",1988-04-17,21.4,23.7
