"","date","Temp","Celsius"
"1",1987-12-05,"ATMP",15.8
"2",1987-12-06,"ATMP",15.5
"3",1987-12-07,"ATMP",23
"4",1987-12-08,"ATMP",23.9
"5",1987-12-09,"ATMP",21
"6",1987-12-10,"ATMP",24.6
"7",1987-12-11,"ATMP",21.6
"8",1987-12-12,"ATMP",18.8
"9",1987-12-13,"ATMP",21.9
"10",1987-12-14,"ATMP",23.7
"11",1987-12-15,"ATMP",25
"12",1987-12-16,"ATMP",25.3
"13",1987-12-17,"ATMP",12.1
"14",1987-12-18,"ATMP",14.9
"15",1987-12-19,"ATMP",21.8
"16",1987-12-20,"ATMP",23.6
"17",1987-12-21,"ATMP",24.2
"18",1987-12-22,"ATMP",24.4
"19",1987-12-23,"ATMP",22.5
"20",1987-12-24,"ATMP",23.9
"21",1987-12-25,"ATMP",24.3
"22",1987-12-26,"ATMP",24.2
"23",1987-12-27,"ATMP",24.2
"24",1987-12-28,"ATMP",24.5
"25",1987-12-29,"ATMP",22.8
"26",1987-12-30,"ATMP",13.1
"27",1987-12-31,"ATMP",20.8
"28",1988-01-01,"ATMP",22.9
"29",1988-01-02,"ATMP",21.4
"30",1988-01-03,"ATMP",24.7
"31",1988-01-04,"ATMP",22.7
"32",1988-01-05,"ATMP",17.2
"33",1988-01-06,"ATMP",22.2
"34",1988-01-07,"ATMP",23.5
"35",1988-01-08,"ATMP",22.5
"36",1988-01-09,"ATMP",24.2
"37",1988-01-10,"ATMP",23.6
"38",1988-01-11,"ATMP",18.3
"39",1988-01-12,"ATMP",15.7
"40",1988-01-13,"ATMP",21.7
"41",1988-01-14,"ATMP",17.8
"42",1988-01-15,"ATMP",19.7
"43",1988-01-16,"ATMP",17
"44",1988-01-17,"ATMP",20.9
"45",1988-01-18,"ATMP",22.3
"46",1988-01-19,"ATMP",23.1
"47",1988-01-20,"ATMP",24.1
"48",1988-01-21,"ATMP",24.3
"49",1988-01-22,"ATMP",19.4
"50",1988-01-23,"ATMP",13
"51",1988-01-24,"ATMP",19.5
"52",1988-01-25,"ATMP",24.4
"53",1988-01-26,"ATMP",13.4
"54",1988-01-27,"ATMP",10
"55",1988-01-28,"ATMP",10.6
"56",1988-01-29,"ATMP",18.8
"57",1988-01-30,"ATMP",21.2
"58",1988-01-31,"ATMP",21.9
"59",1988-02-01,"ATMP",22.7
"60",1988-02-02,"ATMP",22.8
"61",1988-02-03,"ATMP",22.9
"62",1988-02-04,"ATMP",22.9
"63",1988-02-05,"ATMP",21.4
"64",1988-02-06,"ATMP",17.6
"65",1988-02-07,"ATMP",15.8
"66",1988-02-08,"ATMP",22.2
"67",1988-02-09,"ATMP",16.7
"68",1988-02-10,"ATMP",17.8
"69",1988-02-11,"ATMP",19.3
"70",1988-02-12,"ATMP",16.9
"71",1988-02-13,"ATMP",10.3
"72",1988-02-14,"ATMP",13.8
"73",1988-02-15,"ATMP",22.4
"74",1988-02-16,"ATMP",16.9
"75",1988-02-17,"ATMP",20.6
"76",1988-02-18,"ATMP",22.8
"77",1988-02-19,"ATMP",24.3
"78",1988-02-20,"ATMP",24.6
"79",1988-02-21,"ATMP",23.6
"80",1988-02-22,"ATMP",15.7
"81",1988-02-23,"ATMP",23.3
"82",1988-02-24,"ATMP",21.9
"83",1988-02-25,"ATMP",17.5
"84",1988-02-26,"ATMP",12.9
"85",1988-02-27,"ATMP",13.7
"86",1988-02-28,"ATMP",16
"87",1988-02-29,"ATMP",16.1
"88",1988-03-01,"ATMP",16.2
"89",1988-03-02,"ATMP",21
"90",1988-03-03,"ATMP",22.3
"91",1988-03-04,"ATMP",22.9
"92",1988-03-05,"ATMP",23
"93",1988-03-06,"ATMP",23.3
"94",1988-03-07,"ATMP",22.1
"95",1988-03-08,"ATMP",22.8
"96",1988-03-09,"ATMP",23.3
